rally_id,ball_round,player,type,aroundhead,backhand,hit_height,hit_area,landing_area,lose_reason,win_reason,getpoint_player,player_location_area,opponent_location_area
22,1,B,1,,1,2,,7,,,,8,8
22,2,A,5,,,2,7,2,,,,8,8
22,3,B,8,,1,2,2,5,,,,7,8
22,4,A,2,,,1,5,8,,,,8,8
22,5,B,4,,,1,8,5,,,,8,8
22,6,A,5,,1,2,5,7,,,,8,5
22,7,B,3,,1,2,7,4,,,,8,8
22,8,A,4,,,1,4,5,,,,8,8
22,9,B,5,,,2,5,7,,,,8,4
22,10,A,7,,,2,7,1,,,,8,8
22,11,B,3,,,2,1,6,,,,1,8
22,12,A,9,,,1,6,6,,,,6,8
22,13,B,7,,1,2,6,1,,,,8,8
22,14,A,7,,1,2,1,2,,,,7,8
22,15,B,8,,1,2,2,6,,,,2,7
22,16,A,2,,,1,6,5,,,,4,8
22,17,B,4,,,1,5,5,,,,5,8
22,18,A,5,,1,2,5,2,,,,8,3
22,19,B,7,,1,2,2,1,,,,6,8
22,20,A,3,,1,2,1,5,,,,1,8
22,21,B,6,,,1,5,6,,,,9,8
22,22,A,5,,,1,6,7,掛網,對手掛網,B,8,8
13,1,A,1,,1,2,,7,,,,8,8
13,2,B,7,,1,2,7,2,,,,7,8
13,3,A,8,,,2,2,5,,,,2,8
13,4,B,4,,,1,5,6,,,,8,8
13,5,A,5,,,2,6,1,,,,8,5
13,6,B,3,,,1,1,6,,,,1,8
13,7,A,5,,,2,6,5,,,,8,1
13,8,B,4,,,1,5,8,,,,8,8
13,9,A,5,,1,2,8,7,掛網,對手掛網,B,8,5
