batch 0: Pandas(Index=0, rally_id=2, player=1, type=1, player_location_area=8.0, opponent_location_area=8.0, hit_area=7, player_location_x=0.066525905759233, player_location_y=0.8842830930602202, opponent_location_x=-0.3679183993593016, opponent_location_y=-0.8490659150160242, ball_round=1, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 1: Pandas(Index=1, rally_id=2, player=2, type=7, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.4825784243398664, player_location_y=-0.5956634178388539, opponent_location_x=-0.160558607916709, opponent_location_y=0.8998086599548696, ball_round=2, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 2: Pandas(Index=2, rally_id=2, player=1, type=8, player_location_area=7.0, opponent_location_area=8.0, hit_area=7, player_location_x=-0.7756935568631369, player_location_y=0.5761371324038352, opponent_location_x=-0.2850241368207835, opponent_location_y=-0.7782153007916218, ball_round=3, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 3: Pandas(Index=3, rally_id=2, player=2, type=4, player_location_area=9.0, opponent_location_area=8.0, hit_area=3, player_location_x=-0.6105853931498693, player_location_y=-1.3984858848747794, opponent_location_x=-0.1637552019571593, opponent_location_y=1.1143527113391218, ball_round=4, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 4: Pandas(Index=4, rally_id=2, player=1, type=5, player_location_area=8.0, opponent_location_area=9.0, hit_area=8, player_location_x=-0.097689050057688, player_location_y=1.1684573779535623, opponent_location_x=-0.568914834912094, opponent_location_y=-1.504352246209817, ball_round=5, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 5: Pandas(Index=5, rally_id=2, player=2, type=8, player_location_area=8.0, opponent_location_area=8.0, hit_area=7, player_location_x=0.6103883425706529, player_location_y=-0.6705462365834842, opponent_location_x=0.2614738892028029, opponent_location_y=1.0925277033062553, ball_round=6, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 6: Pandas(Index=6, rally_id=2, player=1, type=4, player_location_area=9.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.3033790701273135, player_location_y=1.6024614903835883, opponent_location_x=-0.042772532529921, opponent_location_y=-0.9794983577793572, ball_round=7, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 7: Pandas(Index=7, rally_id=2, player=2, type=5, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.5549687616982305, player_location_y=-0.8974022703442858, opponent_location_x=-0.2840644837730071, opponent_location_y=1.2958038332915638, ball_round=8, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 8: Pandas(Index=8, rally_id=2, player=1, type=7, player_location_area=8.0, opponent_location_area=8.0, hit_area=7, player_location_x=-0.7880675714571747, player_location_y=0.946219808326811, opponent_location_x=-0.3040546197475163, opponent_location_y=-0.956394136823872, ball_round=9, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 9: Pandas(Index=9, rally_id=2, player=2, type=7, player_location_area=7.0, opponent_location_area=8.0, hit_area=2, player_location_x=0.6338395777009291, player_location_y=-0.3817687223107733, opponent_location_x=0.1266001487233763, opponent_location_y=0.9494532082696872, ball_round=10, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 10: Pandas(Index=10, rally_id=2, player=1, type=8, player_location_area=7.0, opponent_location_area=8.0, hit_area=1, player_location_x=0.7093583034524069, player_location_y=0.4750411864366596, opponent_location_x=0.6757077432903108, opponent_location_y=-0.6702755868928524, ball_round=11, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
