rally_id,ball_round,player,type,aroundhead,backhand,hit_height,hit_area,landing_area,lose_reason,win_reason,getpoint_player,player_location_area,opponent_location_area
1,1,B,1,,1,2,,7,,,B,8,8
2,1,B,1,,1,2,,7,,,,8,8
2,2,A,5,,,2,7,2,,,B,8,8
3,1,B,1,,1,2,,7,,,,8,8
3,2,A,5,,,2,7,2,,,,8,8
3,3,B,8,,1,2,2,5,,,B,7,8
4,1,B,1,,1,2,,7,,,,8,8
4,2,A,5,,,2,7,2,,,,8,8
4,3,B,8,,1,2,2,5,,,,7,8
4,4,A,2,,,1,5,8,,,B,8,8
5,1,B,1,,1,2,,7,,,,8,8
5,2,A,5,,,2,7,2,,,,8,8
5,3,B,8,,1,2,2,5,,,,7,8
5,4,A,2,,,1,5,8,,,,8,8
5,5,B,4,,,1,8,5,,,B,8,8
6,1,B,1,,1,2,,7,,,,8,8
6,2,A,5,,,2,7,2,,,,8,8
6,3,B,8,,1,2,2,5,,,,7,8
6,4,A,2,,,1,5,8,,,,8,8
6,5,B,4,,,1,8,5,,,,8,8
6,6,A,5,,1,2,5,7,,,B,8,5
7,1,B,1,,1,2,,7,,,,8,8
7,2,A,5,,,2,7,2,,,,8,8
7,3,B,8,,1,2,2,5,,,,7,8
7,4,A,2,,,1,5,8,,,,8,8
7,5,B,4,,,1,8,5,,,,8,8
7,6,A,5,,1,2,5,7,,,,8,5
7,7,B,3,,1,2,7,4,,,B,8,8
8,1,B,1,,1,2,,7,,,,8,8
8,2,A,5,,,2,7,2,,,,8,8
8,3,B,8,,1,2,2,5,,,,7,8
8,4,A,2,,,1,5,8,,,,8,8
8,5,B,4,,,1,8,5,,,,8,8
8,6,A,5,,1,2,5,7,,,,8,5
8,7,B,3,,1,2,7,4,,,,8,8
8,8,A,4,,,1,4,5,,,B,8,8
9,1,B,1,,1,2,,7,,,,8,8
9,2,A,5,,,2,7,2,,,,8,8
9,3,B,8,,1,2,2,5,,,,7,8
9,4,A,2,,,1,5,8,,,,8,8
9,5,B,4,,,1,8,5,,,,8,8
9,6,A,5,,1,2,5,7,,,,8,5
9,7,B,3,,1,2,7,4,,,,8,8
9,8,A,4,,,1,4,5,,,,8,8
9,9,B,5,,,2,5,7,,,B,8,4
10,1,B,1,,1,2,,7,,,,8,8
10,2,A,5,,,2,7,2,,,,8,8
10,3,B,8,,1,2,2,5,,,,7,8
10,4,A,2,,,1,5,8,,,,8,8
10,5,B,4,,,1,8,5,,,,8,8
10,6,A,5,,1,2,5,7,,,,8,5
10,7,B,3,,1,2,7,4,,,,8,8
10,8,A,4,,,1,4,5,,,,8,8
10,9,B,5,,,2,5,7,,,,8,4
10,10,A,7,,,2,7,1,,,B,8,8
11,1,B,1,,1,2,,7,,,,8,8
11,2,A,5,,,2,7,2,,,,8,8
11,3,B,8,,1,2,2,5,,,,7,8
11,4,A,2,,,1,5,8,,,,8,8
11,5,B,4,,,1,8,5,,,,8,8
11,6,A,5,,1,2,5,7,,,,8,5
11,7,B,3,,1,2,7,4,,,,8,8
11,8,A,4,,,1,4,5,,,,8,8
11,9,B,5,,,2,5,7,,,,8,4
11,10,A,7,,,2,7,1,,,,8,8
11,11,B,3,,,2,1,6,,,B,1,8
12,1,B,1,,1,2,,7,,,,8,8
12,2,A,5,,,2,7,2,,,,8,8
12,3,B,8,,1,2,2,5,,,,7,8
12,4,A,2,,,1,5,8,,,,8,8
12,5,B,4,,,1,8,5,,,,8,8
12,6,A,5,,1,2,5,7,,,,8,5
12,7,B,3,,1,2,7,4,,,,8,8
12,8,A,4,,,1,4,5,,,,8,8
12,9,B,5,,,2,5,7,,,,8,4
12,10,A,7,,,2,7,1,,,,8,8
12,11,B,3,,,2,1,6,,,,1,8
12,12,A,9,,,1,6,6,,,B,6,8
13,1,B,1,,1,2,,7,,,,8,8
13,2,A,5,,,2,7,2,,,,8,8
13,3,B,8,,1,2,2,5,,,,7,8
13,4,A,2,,,1,5,8,,,,8,8
13,5,B,4,,,1,8,5,,,,8,8
13,6,A,5,,1,2,5,7,,,,8,5
13,7,B,3,,1,2,7,4,,,,8,8
13,8,A,4,,,1,4,5,,,,8,8
13,9,B,5,,,2,5,7,,,,8,4
13,10,A,7,,,2,7,1,,,,8,8
13,11,B,3,,,2,1,6,,,,1,8
13,12,A,9,,,1,6,6,,,,6,8
13,13,B,7,,1,2,6,1,,,B,8,8
14,1,B,1,,1,2,,7,,,,8,8
14,2,A,5,,,2,7,2,,,,8,8
14,3,B,8,,1,2,2,5,,,,7,8
14,4,A,2,,,1,5,8,,,,8,8
14,5,B,4,,,1,8,5,,,,8,8
14,6,A,5,,1,2,5,7,,,,8,5
14,7,B,3,,1,2,7,4,,,,8,8
14,8,A,4,,,1,4,5,,,,8,8
14,9,B,5,,,2,5,7,,,,8,4
14,10,A,7,,,2,7,1,,,,8,8
14,11,B,3,,,2,1,6,,,,1,8
14,12,A,9,,,1,6,6,,,,6,8
14,13,B,7,,1,2,6,1,,,,8,8
14,14,A,7,,1,2,1,2,,,B,7,8
15,1,B,1,,1,2,,7,,,,8,8
15,2,A,5,,,2,7,2,,,,8,8
15,3,B,8,,1,2,2,5,,,,7,8
15,4,A,2,,,1,5,8,,,,8,8
15,5,B,4,,,1,8,5,,,,8,8
15,6,A,5,,1,2,5,7,,,,8,5
15,7,B,3,,1,2,7,4,,,,8,8
15,8,A,4,,,1,4,5,,,,8,8
15,9,B,5,,,2,5,7,,,,8,4
15,10,A,7,,,2,7,1,,,,8,8
15,11,B,3,,,2,1,6,,,,1,8
15,12,A,9,,,1,6,6,,,,6,8
15,13,B,7,,1,2,6,1,,,,8,8
15,14,A,7,,1,2,1,2,,,,7,8
15,15,B,8,,1,2,2,6,,,B,2,7
16,1,B,1,,1,2,,7,,,,8,8
16,2,A,5,,,2,7,2,,,,8,8
16,3,B,8,,1,2,2,5,,,,7,8
16,4,A,2,,,1,5,8,,,,8,8
16,5,B,4,,,1,8,5,,,,8,8
16,6,A,5,,1,2,5,7,,,,8,5
16,7,B,3,,1,2,7,4,,,,8,8
16,8,A,4,,,1,4,5,,,,8,8
16,9,B,5,,,2,5,7,,,,8,4
16,10,A,7,,,2,7,1,,,,8,8
16,11,B,3,,,2,1,6,,,,1,8
16,12,A,9,,,1,6,6,,,,6,8
16,13,B,7,,1,2,6,1,,,,8,8
16,14,A,7,,1,2,1,2,,,,7,8
16,15,B,8,,1,2,2,6,,,,2,7
16,16,A,2,,,1,6,5,,,B,4,8
17,1,B,1,,1,2,,7,,,,8,8
17,2,A,5,,,2,7,2,,,,8,8
17,3,B,8,,1,2,2,5,,,,7,8
17,4,A,2,,,1,5,8,,,,8,8
17,5,B,4,,,1,8,5,,,,8,8
17,6,A,5,,1,2,5,7,,,,8,5
17,7,B,3,,1,2,7,4,,,,8,8
17,8,A,4,,,1,4,5,,,,8,8
17,9,B,5,,,2,5,7,,,,8,4
17,10,A,7,,,2,7,1,,,,8,8
17,11,B,3,,,2,1,6,,,,1,8
17,12,A,9,,,1,6,6,,,,6,8
17,13,B,7,,1,2,6,1,,,,8,8
17,14,A,7,,1,2,1,2,,,,7,8
17,15,B,8,,1,2,2,6,,,,2,7
17,16,A,2,,,1,6,5,,,,4,8
17,17,B,4,,,1,5,5,,,B,5,8
18,1,B,1,,1,2,,7,,,,8,8
18,2,A,5,,,2,7,2,,,,8,8
18,3,B,8,,1,2,2,5,,,,7,8
18,4,A,2,,,1,5,8,,,,8,8
18,5,B,4,,,1,8,5,,,,8,8
18,6,A,5,,1,2,5,7,,,,8,5
18,7,B,3,,1,2,7,4,,,,8,8
18,8,A,4,,,1,4,5,,,,8,8
18,9,B,5,,,2,5,7,,,,8,4
18,10,A,7,,,2,7,1,,,,8,8
18,11,B,3,,,2,1,6,,,,1,8
18,12,A,9,,,1,6,6,,,,6,8
18,13,B,7,,1,2,6,1,,,,8,8
18,14,A,7,,1,2,1,2,,,,7,8
18,15,B,8,,1,2,2,6,,,,2,7
18,16,A,2,,,1,6,5,,,,4,8
18,17,B,4,,,1,5,5,,,,5,8
18,18,A,5,,1,2,5,2,,,B,8,3
19,1,B,1,,1,2,,7,,,,8,8
19,2,A,5,,,2,7,2,,,,8,8
19,3,B,8,,1,2,2,5,,,,7,8
19,4,A,2,,,1,5,8,,,,8,8
19,5,B,4,,,1,8,5,,,,8,8
19,6,A,5,,1,2,5,7,,,,8,5
19,7,B,3,,1,2,7,4,,,,8,8
19,8,A,4,,,1,4,5,,,,8,8
19,9,B,5,,,2,5,7,,,,8,4
19,10,A,7,,,2,7,1,,,,8,8
19,11,B,3,,,2,1,6,,,,1,8
19,12,A,9,,,1,6,6,,,,6,8
19,13,B,7,,1,2,6,1,,,,8,8
19,14,A,7,,1,2,1,2,,,,7,8
19,15,B,8,,1,2,2,6,,,,2,7
19,16,A,2,,,1,6,5,,,,4,8
19,17,B,4,,,1,5,5,,,,5,8
19,18,A,5,,1,2,5,2,,,,8,3
19,19,B,7,,1,2,2,1,,,B,6,8
20,1,B,1,,1,2,,7,,,,8,8
20,2,A,5,,,2,7,2,,,,8,8
20,3,B,8,,1,2,2,5,,,,7,8
20,4,A,2,,,1,5,8,,,,8,8
20,5,B,4,,,1,8,5,,,,8,8
20,6,A,5,,1,2,5,7,,,,8,5
20,7,B,3,,1,2,7,4,,,,8,8
20,8,A,4,,,1,4,5,,,,8,8
20,9,B,5,,,2,5,7,,,,8,4
20,10,A,7,,,2,7,1,,,,8,8
20,11,B,3,,,2,1,6,,,,1,8
20,12,A,9,,,1,6,6,,,,6,8
20,13,B,7,,1,2,6,1,,,,8,8
20,14,A,7,,1,2,1,2,,,,7,8
20,15,B,8,,1,2,2,6,,,,2,7
20,16,A,2,,,1,6,5,,,,4,8
20,17,B,4,,,1,5,5,,,,5,8
20,18,A,5,,1,2,5,2,,,,8,3
20,19,B,7,,1,2,2,1,,,,6,8
20,20,A,3,,1,2,1,5,,,B,1,8
21,1,B,1,,1,2,,7,,,,8,8
21,2,A,5,,,2,7,2,,,,8,8
21,3,B,8,,1,2,2,5,,,,7,8
21,4,A,2,,,1,5,8,,,,8,8
21,5,B,4,,,1,8,5,,,,8,8
21,6,A,5,,1,2,5,7,,,,8,5
21,7,B,3,,1,2,7,4,,,,8,8
21,8,A,4,,,1,4,5,,,,8,8
21,9,B,5,,,2,5,7,,,,8,4
21,10,A,7,,,2,7,1,,,,8,8
21,11,B,3,,,2,1,6,,,,1,8
21,12,A,9,,,1,6,6,,,,6,8
21,13,B,7,,1,2,6,1,,,,8,8
21,14,A,7,,1,2,1,2,,,,7,8
21,15,B,8,,1,2,2,6,,,,2,7
21,16,A,2,,,1,6,5,,,,4,8
21,17,B,4,,,1,5,5,,,,5,8
21,18,A,5,,1,2,5,2,,,,8,3
21,19,B,7,,1,2,2,1,,,,6,8
21,20,A,3,,1,2,1,5,,,,1,8
21,21,B,6,,,1,5,6,,,B,9,8
22,1,B,1,,1,2,,7,,,,8,8
22,2,A,5,,,2,7,2,,,,8,8
22,3,B,8,,1,2,2,5,,,,7,8
22,4,A,2,,,1,5,8,,,,8,8
22,5,B,4,,,1,8,5,,,,8,8
22,6,A,5,,1,2,5,7,,,,8,5
22,7,B,3,,1,2,7,4,,,,8,8
22,8,A,4,,,1,4,5,,,,8,8
22,9,B,5,,,2,5,7,,,,8,4
22,10,A,7,,,2,7,1,,,,8,8
22,11,B,3,,,2,1,6,,,,1,8
22,12,A,9,,,1,6,6,,,,6,8
22,13,B,7,,1,2,6,1,,,,8,8
22,14,A,7,,1,2,1,2,,,,7,8
22,15,B,8,,1,2,2,6,,,,2,7
22,16,A,2,,,1,6,5,,,,4,8
22,17,B,4,,,1,5,5,,,,5,8
22,18,A,5,,1,2,5,2,,,,8,3
22,19,B,7,,1,2,2,1,,,,6,8
22,20,A,3,,1,2,1,5,,,,1,8
22,21,B,6,,,1,5,6,,,,9,8
22,22,A,5,,,1,6,7,掛網,對手掛網,B,8,8
